Id,Text,IsFlagged,IsReviewed,CreatedBy,Topics,CorrectAnswer,CorrectAnswerExplanation,IncorrectAnswers
7a554f60-901b-4c1a-871f-b71ec0c1a152,Which of these is NOT a symptom of autonomic dysreflexia?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Hypotension,"<img src=""https://clinicalgate.com/wp-content/uploads/2015/02/B9781437713695001873_f178-01-9781437713695.jpg"" alt=""Autonomic Dysreflexia"">",Excessive sweating above the level of the injury;;Headache;;Irregular heartbeat;;Hypertension
38bd4b05-fe89-4bfa-8d39-e9ae181e62f3,What spinal nerve roots contribute to the pudendal nerve?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),S2-4,,S1-3;;L5-S2;;S3-5;;S4-Co1
83c50ed6-2cfe-4a70-b528-ea8f36f7b5ae,What spinal nerve roots contribute to the phrenic nerve?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),C3-5,,C1-3;;C5-7;;C2-4;;C4-6
9cb8c390-193e-42a2-b7bf-4ff732eaabcb,Damage to which nerve would cause numbness in the 'regimental badge' area?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Axillary,,Radial;;Median;;Musculocutaneous;;Ulnar
78ec4fb6-f272-40fb-ac1a-11123b1d1c6d,Which root/s of the brachial plexus contribute to the superior trunk?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),C5 - 6,"<img src=""https://apps.medsch.ucla.edu/medyear1/anatomy/brachialplexus/images/Brachial_Plexus_DiagramsColor.png"" alt=""Brachial Plexus"">",C6 only;;C5 only;;C6 - 7;;C4 - 5
191bbf9b-1f35-403e-9950-fbd3fa76eb02,Which of the following is not a peripheral nerve disorder?,FALSE,TRUE,Rhys Kelly***,,Lambert-Eaton syndrome,,Acute motor axonal neuropathy;;Miller Fisher syndrome;;Guillain - Barre syndrome;;Acute motor sensory axonal neuropathy
d4ab2005-33e1-47be-b885-71a5b4ecc729,What nerve supplies the anterior motor compartment of the thigh?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Femoral,"The anterior muscles of the thigh (i.e. the quadricep muscles, iliopsoas, pectineus and sartorius) are supplied by the femoral nerve, which is a major nerve that originates from the lumbar plexus.

Source: <a href=""http://teachmeanatomy.info/lower-limb/muscles/thigh/anterior-compartment/"" target=""_blank"">TeachMeAnatomy - Muscles of the Anterior Thigh</a>",Tibial;;Sciatic;;Obturator;;Gluteal
361492d7-6be1-4241-9767-947a3b0d1808,Which of the following drugs acts by reducing dopamine re-uptake from the synaptic cleft?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Cocaine,,Cannabis;;Opioids;;Amphetamines;;Alcohol
e751d830-f7ea-42cc-9590-576e24fe09b0,Which nerve innervates the posterior muscles of the thigh?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Sciatic,"The muscles of the posterior thigh are supplied by the Sciatic Nerve.

Reference: <a href=""http://teachmeanatomy.info/lower-limb/muscles/thigh/hamstrings/"" target=""blank"">TeachMeAnatomy - Muscles of the Posterior Thigh</a>",Gluteal;;Obturator;;Tibial;;Femoral
2a515bf2-8899-4777-89a2-feb35f496c8a,The loss of which ion from injured spinal cord cells is thought to be linked to spinal shock?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Potassium,"The reason spinal shock occurs is that there is a sudden loss of conductivity of electrical signals in the spinal cord as potassium ions move from the intracellular to the extracellular spaces (i.e. from inside cells to outside cells). When this happens the body can no longer effectively send nerve signal impulses to control automatic reflexes below the site of the spinal cord injury. In some cases the area above the spinal cord injury may also be affected, depending on the level of trauma and subsequent inflammation.",Calcium;;Chloride;;Sodium;;Magnesium
b6d48c93-f607-441f-8eba-e065d537ceda,At which vertebral levels would we expect to find sympathetic fibres in the spinal nerves?,TRUE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),C1-S5,,C1/7 and S1/5;;T1/12;;T1/L5;;T1-L2/3
a22ddbb9-7841-4f51-9a45-5d1d97133b50,Which neurotransmitter receptor is targeted by many general anaesthetics?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),GABA,"A number of drugs used in anaesthesia have a large association with the neurotransmitter GABA. Drugs such as benzodiazepines, alcohol and barbiturates act both directly and allosterically at the GABA receptor. Increasing the action of GABA leads to increased chloride flux across neuronal membranes, which hyperpolarises and thus reduces neuronal firing.

<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/BkCUL1-RM4U"" frameborder=""0"" allowfullscreen></iframe>",Acetylcholine;;Glutamate;;Dopamine;;Noradrenaline
f8bae2cb-c1bf-46ad-8310-19419b8cb236,Which two cords of the brachial plexus contribute to the median nerve?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Lateral and medial,"<img src=""https://apps.medsch.ucla.edu/medyear1/anatomy/brachialplexus/images/Brachial_Plexus_DiagramsColor.png"" alt=""Brachial Plexus"">",Posterior and anterior;;Anterior and medial;;Medial and posterior;;Lateral and posterior
4c1c6e5a-410b-411d-bc7c-8641ee03537a,Which spinal nerves are responsible for the Knee Jerk reflex?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),L3/4,"<img src=""http://resources.ama.uk.com/glowm_www/graphics/figures/v1/0810/005f.jpg"" alt=""Lower Limb Reflexes"">",S1/2;;L4/5;;L5/S1;;C7/8
941a31d4-6c72-4003-ba8e-4a52a39a5733,Which of the following analgesics has an unclear mechanism of action?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Paracetamol,"The mechanism of action of paracetamol is not completely understood. Unlike NSAIDs such as aspirin, paracetamol does not appear to inhibit the function of any cyclooxygenase (COX) enzyme outside the central nervous system, and this appears to be the reason why it is not useful as an anti-inflammatory. It does appear to selectively inhibit COX activities in the brain, which may contribute to its ability to treat fever and pain. This activity does not appear to be direct inhibition by blocking an active site, but rather by reducing COX, which must be oxidized in order to function.[",NSAIDs;;Ketamine;;Opioids;;COX-2 inhibitors
c4aac484-b609-440d-a3f3-19d60108a391,What of the following nerves is not a branch of the brachial plexus?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Intercostal nerves,"The intercostal (AKA thoracoabdominal) nerves are direct branches of the spinal nerves at each spinal level, and do not branch from the brachial plexus.",Nerve to subclavius;;Suprascapular nerve;;Long thoracic nerve;;Dorsal scapular nerve
b9cb59ee-510a-41a3-b5e9-395501e336e4,Spinal cord damage at or above which vertebral level is associated with autonomic dysreflexia?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),T6,"<img src=""https://clinicalgate.com/wp-content/uploads/2015/02/B9781437713695001873_f178-01-9781437713695.jpg"" alt=""Autonomic Dysreflexia"">",T5;;T7;;T9;;T8
e180a8d1-4aef-402b-b236-51a12435c925,What does the L4 dermatome supply?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Medial calf,,Superior to anterior knee;;Anterior thigh;;Lateral heel;;Lateral calf and middle dorsum of foot
9306c32e-655f-40a7-b8d5-465584b4a4ec,Which of these functions is NOT lost in a patient with anterior cord syndrome?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Vibration sensation,"<img src=""http://img.tfd.com/mk/A/X2604-A-47.png"" alt=""Anterior Cord Syndrome"">",Pain sensation;;Temperature sensation;;Motor function in legs;;Motor function in arms
16ac1443-4882-4135-b80b-67cf2a4e28e6,Which of these describes a painful response to normally benign light stimulation?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Allodynia,,Anhedonia;;Hyperalgesia;;Hypoalgesia;;Analgesia
94e68109-365e-4e53-9842-d1ea0b46f6d1,What nerve roots supply the lateral cutaneous nerve of the thigh?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),L2-3,,L4-5;;T12-L1;;L1-2;;L3-4
e79867ce-cdaa-42de-ab9e-12784d27d286,Which of the following is not an anti-epileptic drug?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Voltage gated K channels,,GABA potentiators;;Voltage gated Ca Channels;;Voltage gated Na channels;;Glutamate inhibitors
072b1260-7634-4be2-a2a5-eead1e91fe01,What is the first branch of the lumbar plexus?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Iliohypogastric,,Genitofemoral;;Femoral;;Obturator;;Ilioinguinal
4a6d3c28-281c-430e-9c86-8eeb9a9701dd,What is cocaine's MOA?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Inhibit dopamine transporter,,Allows monoamines to leak out of presynaptic vesicles;;Modulate release of NTs from nicotinic receptors;;Inhibit chloride channels to potentiate excitation;;Modulate release of NTs from muscarinic receptors
897befdd-bab3-4323-b625-80962f72bbf6,Which spinal nerve roots contribute to the brachial plexus?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),C5 - T1,,C1 - C8;;C1 - T4;;C4 - T2;;C6 - T4
3b2d96a9-7927-47fb-ae5a-ad24a43d70fb,Which of the following is not a type of nerve injury?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),Axopraxia,,Neurapraxia;;Axonotmesis;;None of the above;;Neuromesis
92837f91-98b5-4669-9620-28c36c5abd75,Where would an individual with posterior cord syndrome would expect to lose motor function?,FALSE,TRUE,Rhys Kelly***,Brain and Behaviour(Year 2),No motor loss seen in posterior cord syndrome,Dorsal column affected,Both arms;;Both legs;;Left leg only;;Right leg only
996487ab-b0d8-4fd8-9978-a5972dc3936d,What branches come off the sciatic nerve?,FALSE,TRUE,Rhys Kelly***,,Posterior femoral cutaneous,,Common fibular;;Tibial;;Saphenous;;Deep peroneal
